Tweet_ID,Date,Text,Author_ID
1091381770002620423,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Why is this even allowed to be called news?,781213402941231104
1091381617929670656,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth neophytes,22354596
1091381076600279040,2019-02-01,Pfizer prolonga el problema con sus inyectables hasta 2020 https://t.co/R7OufCWxhC,463782793
1091380239773487104,2019-02-01,@JeromeAdamsMD @McKenzieCox14 @OverBadWater @Geoffsabtchange @Surgeon_General @SGottliebFDA @LaurieScudderNP @Medscape Hmm. I think that's Pfizer $PFE https://t.co/Lx3zG2UJjo,2910321650
1091380038472105985,2019-02-01,FiercePharmaAsia—Takeda’s dengue shot; Pfizer’s China Ibrance deal; Aslan job cuts https://t.co/pKgHRhN3Y0 &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #healthcare #pharma #CI #biotech #pharmaceutical https://t.co/FR7THuKAqv,133504478
1091380024899321858,2019-02-01,@Biotech2050 @ByJonGardner @pfizer https://t.co/qI1iHE7b4t,797452166281785345
1091378518183825408,2019-02-01,@JordanUhl @1followernodad @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Why argue about it. We only have 12 years left before the end of the world. At least that’s what the most popular democrat tells us anyway. Party on.,812336532879265792
1091378289275535361,2019-02-01,"@CoryBooker @MsPackyetti You mean Merck, J+J, Pfizer?",40063054
1091377623354232832,2019-02-01,"@delamare41 @DocArnica @MarieBurnier Tu te souviens de la sortie du VIAGRA? Ici la déléguée Pfizer passait avec sa sacoche + un grand sac plein de boites et disait « combien vous en voulez? »😏  (j’ai aussi des anecdotes incroyables de cette période, en particulier des premières demandes de prescription...)",379410773
1091377289982406656,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth #shame,1151704477
1091377203600707584,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth 🤮🤮🤮,1151704477
1091376135735259143,2019-02-01,"Takeda Dunboyne Biologics, Career Day - https://t.co/2b1LtZVFq2",4716441167
1091375884735578112,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Do they ever have scientists or other experts?! They seem to only have professional ignoramuses who just know how to convert oxygen into carbon dioxide and hate.,119758837
1091373862925680641,2019-02-01,@MariahSzot17 The news will never cover the dangers of vaccines because they are funded by pharmaceutical companies  The CDC will always push vaccines because they receive many millions of dollars in donations from pharmaceutical companies like Merck&amp;Pfizer,701465782417403905
1091373347315814400,2019-02-01,Pfizer: die Tendenz weist nach oben! – Aktienanalyse | InvestorSMS https://t.co/rAytMfrRFS,21302223
1091372755147059200,2019-02-01,Pfizer: die Tendenz weist nach oben! - Aktienanalyse: Toronto (https://t.co/f8lOX7rmoj) - Pfizer-Aktienanalyse von… https://t.co/fOkEs75bs7,259733922
1091372731835269120,2019-02-01,@pfizer stop advertising on @TuckerCarlson,1002440875677536256
